Date,Week,Weekday,Cycle Day,Sch Holiday/Special Sch Day,No Cycle Day,Special Activity,Manual sort
1/9/2026,1,星期二,,,,School Year Begins & Commencement Assembly,a0
2/9/2026,1,星期三,,,,Commencement Week,a1
3/9/2026,1,星期四,,,,Commencement Week,a2
4/9/2026,1,星期五,,School Holiday,,2027-28 P1 Admission 1st interview,a3
5/9/2026,1,星期六,,,,2027-28 P1 Admission 1st interview,a4
6/9/2026,2,星期日,,,,,a5
7/9/2026,2,星期一,,,,Commencement Week,a6
8/9/2026,2,星期二,A,,,,a7
9/9/2026,2,星期三,B,,,Student Photos for 2 days,a8
10/9/2026,2,星期四,C,,,"Student Photos for 2 days, 興趣體驗班(P.M.)",a9
11/9/2026,2,星期五,,School Holiday,,,aA
12/9/2026,2,星期六,,,,,aB
13/9/2026,3,星期日,,,,,aC
14/9/2026,3,星期一,D,,,,aD
15/9/2026,3,星期二,E,,,,aE
16/9/2026,3,星期三,F,,,,aF
17/9/2026,3,星期四,A,,,,aG
18/9/2026,3,星期五,B,,,,aH
19/9/2026,3,星期六,,,,2027-28 P1 Admission 2nd interview,aI
20/9/2026,4,星期日,,,,,aJ
21/9/2026,4,星期一,C,,,,aK
22/9/2026,4,星期二,D,,,,aL
23/9/2026,4,星期三,E,,,,aM
24/9/2026,4,星期四,F,,,,aN
25/9/2026,4,星期五,A,,,,aO
26/9/2026,4,星期六,,The day following the Mid-Autumn Festival,,,aP
27/9/2026,5,星期日,,,,,aQ
28/9/2026,5,星期一,B,,,Curriculum Night,aR
29/9/2026,5,星期二,C,,,,aS
30/9/2026,5,星期三,D,,,Curriculum Night,aT
1/10/2026,5,星期四,,National Day,,,aU
2/10/2026,5,星期五,E,,,PTA Mid-Autumn Night,aV
3/10/2026,5,星期六,,,,,aW
4/10/2026,6,星期日,,,,,aX
5/10/2026,6,星期一,F,,,25th Anniversary Kickoff,aY
6/10/2026,6,星期二,A,,,,aZ
7/10/2026,6,星期三,B,,,,aa
8/10/2026,6,星期四,C,,,,ab
9/10/2026,6,星期五,D,,,,ac
10/10/2026,6,星期六,,,,,ad
11/10/2026,7,星期日,,,,,ae
12/10/2026,7,星期一,E,,,,af
13/10/2026,7,星期二,F,,,,ag
14/10/2026,7,星期三,A,,,,ah
15/10/2026,7,星期四,B,,,,ai
16/10/2026,7,星期五,C,,,,aj
17/10/2026,7,星期六,,,,,ak
18/10/2026,8,星期日,,,,,al
19/10/2026,8,星期一,,The day following Chung Yeung Festival,,,am
20/10/2026,8,星期二,D,,,,an
21/10/2026,8,星期三,E,,,,ao
22/10/2026,8,星期四,F,,,,ap
23/10/2026,8,星期五,,,Picnic,,aq
24/10/2026,8,星期六,,,,,ar
25/10/2026,9,星期日,,,,,as
26/10/2026,9,星期一,A,,,,at
27/10/2026,9,星期二,B,,,,au
28/10/2026,9,星期三,C,,,,av
29/10/2026,9,星期四,D,,,,aw
30/10/2026,9,星期五,E,,,P1-P6 Learning Feedback Day 1 & Secondary School Exhibition,ax
31/10/2026,9,星期六,,,,P1-P6 Learning Feedback Day 1 & Secondary School Exhibition,ay
1/11/2026,10,星期日,,,,,az
2/11/2026,10,星期一,F,,,,b00
3/11/2026,10,星期二,A,,,,b01
4/11/2026,10,星期三,B,,,,b02
5/11/2026,10,星期四,C,,,,b03
6/11/2026,10,星期五,D,,,Flu Vaccine (1st dose),b04
7/11/2026,10,星期六,,,,DSS Expo,b05
8/11/2026,11,星期日,,,,,b06
9/11/2026,11,星期一,E,,,,b07
10/11/2026,11,星期二,F,,,,b08
11/11/2026,11,星期三,A,,,,b09
12/11/2026,11,星期四,B,,,,b0A
13/11/2026,11,星期五,C,,,,b0B
14/11/2026,11,星期六,,,,,b0C
15/11/2026,12,星期日,,,,,b0D
16/11/2026,12,星期一,D,,,,b0E
17/11/2026,12,星期二,,,Staff Development Day,,b0F
18/11/2026,12,星期三,E,,,,b0G
19/11/2026,12,星期四,F,,,,b0H
20/11/2026,12,星期五,A,,,No meeting,b0I
21/11/2026,12,星期六,,,,,b0J
22/11/2026,13,星期日,,,,,b0K
23/11/2026,13,星期一,B,,,,b0L
24/11/2026,13,星期二,C,,,,b0M
25/11/2026,13,星期三,D,,,,b0N
26/11/2026,13,星期四,E,,,,b0O
27/11/2026,13,星期五,F,,,,b0P
28/11/2026,13,星期六,,,,,b0Q
29/11/2026,14,星期日,,,,,b0R
30/11/2026,14,星期一,A,,,,b0S
1/12/2026,14,星期二,B,,,,b0T
2/12/2026,14,星期三,C,,,,b0U
3/12/2026,14,星期四,D,,,,b0V
4/12/2026,14,星期五,E,,,P6 SSPA Info Seminar,b0W
5/12/2026,14,星期六,,,,,b0X
6/12/2026,15,星期日,,,,,b0Y
7/12/2026,15,星期一,F,,,,b0Z
