POINTS TO NOTE,,,,,,,
1. This is a tentative schedule. ,,,,,,,
2. All updates will be made in GOOGLE CALENDAR. Please check and reply to the event invitations. ,,,,,,,
3. The chairperson/ convenor should send invitation to members by themselves. ,,,,,,,
4. The commencement week will be held from 1 Sep to 7 Sep.,,,,,,,
,,,,,,,
Date,Time,,"Venue (Subject to change, please refer to Google Calendar)",Meeting,Chairperson/ Convenor ,Attendees,Special Arrangement / Leave
14/08,09:00,13:00,G01,SLT Meeting,Principal ,All SLT members,
14/08,15:00,16:00,G01,Use of Google Enterprise,Principal ,"CKS, ML, Vikki, LCH, Jeffrey, LKY, Ray",
17/08,09:00,13:00,G01,SLT Meeting,Principal ,All SLT members,
17/08,14:00,15:00,G01,Team Heads Meeting,Principal,Team heads,
17/08,15:00,16:30,G01,25th Anniversary Steering Committee Meeting,Principal,"SLT, LKN, Willy",
18/08,09:00,13:00,G01,SLT Meeting,Principal ,All SLT members,"NSF, MTM, YTC, Polly(09:00-14:30)"
18/08,14:00,15:00,Principal's Rm,Curriculum Mapping and Roles,Principal ,"AYJ, CKS",
19/08,09:00,10:30,G01 & G02,MMC Meeting,AYJ,All MMC members,
19/08,09:30,10:30,307,New Join Documents,Vikki,"CSYs, CWYw, LCYf, LSs, NSCa, TYM, WTL, YCK",
19/08,10:30,11:00,G01 & G02,Briefing of Mentoring Scheme,LKY,"YHW, AYJ, LWY, YTC, WSM, CCY, WKCc, CYW",
19/08,11:00,13:00,G01 & G02,Induction,LKY,"SLT members, YHW, AYJ, LWY, YTC, WSM, CCY, WKCc, CYW, new teachers",
19/08,12:00,12:45,407,Meeting re P4 Camp,Principal,"CMC, CTt, CYT, HKF, MTM, NSY, YYC",
19/08,14:00,15:30,G01,Meeting re Eng Dept,Principal,"AYJ, CKS, VRL, VSM, CTt",
19/08,14:00,15:00,507,Team D Meeting-Core,CMC,"HKF, CKY, LTH, CCY, MTM, YYC, Yuki Xu",
19/08,14:00,15:00,Campus TV,Photo taking of Staff Card for New Teachers,Vikki,"CSYs, CWYw, LCYf, LSs, NSCa, TYM, WTL, YCK, new TAs",
19/08,15:30,16:30,Principal's Rm,G&D Review,Principal ,"CMC, NSY, MTM",
20/08,09:00,16:30,,Team Building Day,LKY,"All staffs, except janitors",
